var_pop|case|n_pt|deaths_n|deaths_prop|hr|hr_lcl|hr_ucl
def02_19#inc_2011_2015|1|21832|153|0.0070080616|3.5425198637|2.921067762|4.2961848225
def02_19#inc_2016_2021|0|194270|228|0.0011736243|1||
def02_19#inc_2016_2021|1|19604|75|0.0038257498|2.7988488673|2.1513417851|3.6412414969
def02_20#inc_2011_2015|0|194807|4924|0.0252762991|1||
def02_20#inc_2011_2015|1|19498|1087|0.0557493076|1.6666358438|1.5591352368|1.7815484958
def02_20#inc_2016_2021|0|244940|6056|0.0247244223|1||
def02_20#inc_2016_2021|1|24518|1277|0.052084183|1.5090178553|1.4188298388|1.6049386794
def02_21#inc_2011_2015|0|192355|1686|0.0087650438|1||
def02_21#inc_2011_2015|1|19269|593|0.0307748197|3.3931385636|3.0883622922|3.7279918035
def02_21#inc_2016_2021|0|232607|1285|0.0055243393|1||
def02_21#inc_2016_2021|1|23308|509|0.0218379955|3.7999759271|3.4274100477|4.213040414
def02_22#inc_2011_2015|0|2339940|38590|0.0164918759|1||
def02_22#inc_2011_2015|1|234342|17134|0.0731153613|3.7526635891|3.6847014158|3.8218792852
def02_22#inc_2016_2021|0|3175459|45805|0.0144246863|1||
def02_22#inc_2016_2021|1|318202|20964|0.0658826783|4.159381949|4.0911219539|4.228780856
def02_23#inc_2011_2015|0|817462|3456|0.0042277195|1||
def02_23#inc_2011_2015|1|81999|1243|0.0151587214|2.9358591347|2.7495296239|3.1348157824
def02_23#inc_2016_2021|0|951691|3506|0.0036839689|1||
def02_23#inc_2016_2021|1|95445|1156|0.0121116874|2.781115091|2.6008518041|2.9738723049
def02_24#inc_2011_2015|0|678230|28660|0.0422570514|1||
def02_24#inc_2011_2015|1|67848|14052|0.2071100106|5.6213506626|5.507886053|5.7371526877
def02_24#inc_2016_2021|0|844596|35403|0.0419170822|1||
def02_24#inc_2016_2021|1|84507|15736|0.1862094264|5.0863554511|4.9910626596|5.183467638
def02_25#inc_2011_2015|0|649746|10915|0.0167988722|1||
def02_25#inc_2011_2015|1|65087|3847|0.0591055049|3.5803381551|3.4501906563|3.7153950555
def02_25#inc_2016_2021|0|776847|16506|0.0212474271|1||
def02_25#inc_2016_2021|1|77847|5720|0.0734774622|3.610142065|3.5023716369|3.7212286647
def03_00#inc_2011_2015|0|5047497|49696|0.009845672|1||
def03_00#inc_2011_2015|1|505611|28013|0.0554042535|5.4849984688|5.4043560009|5.5668442638
def03_00#inc_2016_2021|0|5669442|56268|0.0099247862|1||
def03_00#inc_2016_2021|1|567664|29186|0.0514142169|5.2619523464|5.1875130341|5.3374598414
def03_01#inc_2011_2015|0|448984|4355|0.0096996775|1||
def03_01#inc_2011_2015|1|44942|3109|0.0691780517|6.5391536264|6.2415390201|6.8509593567
def03_01#inc_2016_2021|0|485215|4299|0.0088599899|1||
def03_01#inc_2016_2021|1|48536|2971|0.061212296|6.5401253261|6.2387237238|6.8560880677
def03_02#inc_2011_2015|0|1169145|13980|0.0119574561|1||
def03_02#inc_2011_2015|1|117257|9584|0.0817349924|5.6041484087|5.4571932516|5.7550608781
def03_02#inc_2016_2021|0|1192680|11549|0.0096832344|1||
def03_02#inc_2016_2021|1|119617|6858|0.0573329878|5.4410860094|5.2790648838|5.6080797666
def03_03#inc_2011_2015|0|119046|773|0.0064932883|1||
def03_03#inc_2011_2015|1|11937|261|0.0218647901|2.8334994949|2.4596615167|3.2641561992
def03_03#inc_2016_2021|0|116643|592|0.0050753153|1||
def03_03#inc_2016_2021|1|11688|170|0.0145448323|2.5493529768|2.148365729|3.0251835209
def03_04#inc_2011_2015|0|97200|2077|0.0213683128|1||
def03_04#inc_2011_2015|1|9721|2293|0.2358810822|12.814907687|12.065836162|13.610483089
def03_04#inc_2016_2021|0|131183|2910|0.0221827523|1||
def03_04#inc_2016_2021|1|13134|2783|0.2118927973|11.261795958|10.685726871|11.868921012
def03_05#inc_2011_2015|0|23235|172|0.0074026253|1||
def03_05#inc_2011_2015|1|2331|144|0.0617760618|6.8393728064|5.41464662|8.6389793586
def03_05#inc_2016_2021|0|21330|166|0.007782466|1||
def03_05#inc_2016_2021|1|2133|142|0.066572902|8.0390532917|6.3764498176|10.135166068
def03_06#inc_2011_2015|0|458791|30835|0.0672092521|1||
def03_06#inc_2011_2015|1|45887|8608|0.1875912568|3.0268701625|2.9552370388|3.1002396288
def03_06#inc_2016_2021|0|527650|32683|0.0619406804|1||
def03_06#inc_2016_2021|1|52762|8052|0.1526098328|2.6530889429|2.5890904298|2.7186694052
def03_07#inc_2011_2015|0|2429771|38862|0.0159940999|1||
def03_07#inc_2011_2015|1|243549|16978|0.0697108179|3.7833249807|3.7145849995|3.8533370246
def03_07#inc_2016_2021|0|2029831|34990|0.0172378883|1||
def03_07#inc_2016_2021|1|203290|15436|0.0759309361|4.1251556004|4.0467115265|4.2051202849
def03_08#inc_2011_2015|0|627022|619|0.0009872062|1||
